Ind,authors,title,year,is_cited_own_paper,is_of_interest
51,Felix Fritzsch; Tomaž Prosen,Boundary chaos,2022,False,True
52,Lucas Sá; Pedro Ribeiro; Tomaž Prosen,Lindbladian dissipation of strongly-correlated quantum matter,2022,False,True
53,Felix Fritzsch; Roopayan Ghosh; Tomaž Prosen,Boundary chaos: Exact entanglement dynamics,2023,False,True
54,Miha Srdinsek; Tomaz Prosen; Spyros Sotiriadis,Ergodicity Breaking and Deviation from Eigenstate Thermalization in Relativistic Quantum Field Theory,2024,False,True
55,Apollonas S. Matsoukas-Roubeas; Tomaž Prosen; Adolfo del Campo,Quantum Chaos and Coherence: Random Parametric Quantum Channels,2023,False,True
56,Žiga Krajnik; Johannes Schmidt; Enej Ilievski; Tomaž Prosen,Dynamical Criticality of Magnetization Transfer in Integrable Spin Chains,2024,False,True
57,Alexios Christopoulos; Andrea De Luca; D. L. Kovrizhin; Tomaž Prosen,Dual symplectic classical circuits: An exactly solvable model of many-body chaos,2023,False,True
58,Felix Fritzsch; Tomaž Prosen,Boundary Chaos: Spectral Form Factor,2023,False,True
59,Eren Firat; Alexander Monin; Riccardo Rattazzi; Matthew T. Walters,Flux Correlators and Semiclassics,2023,False,True
60,Brian Henning; Hitoshi Murayama; Francesco Riva; Jedidiah O. Thompson; Matthew T. Walters,Towards a nonperturbative construction of the S-matrix,2023,False,True
61,Nikhil Anand; Vincent X. Genest; Emanuel Katz; Zuhair U. Khandker; Matthew T. Walters,RG flow from \phi^4 theory to the 2D Ising model,2017,False,True
62,Nikodem Popławski,Classical Physics: Spacetime and Fields,2024,False,True
63,Nicola Pranzini,A formula for the overlap between Generalized Coherent States of any rank one simple Lie algebra,2024,False,True
64,Akram Touil; Sebastian Deffner,Information scrambling -- a quantum thermodynamic perspective,2024,False,True
65,A. Naveena Kumara; Shreyas Punacha; Md Sabir Ali,Lyapunov Exponents and Phase Structure of Lifshitz and Hyperscaling Violating Black Holes,2024,False,True
66,Horatiu Nastase; Jacob Sonnenschein,"Euler fluid in 2+1 dimensions as a gauge theory, and an action for the Euler fluid in any dimension",2024,False,True
67,Ali Fatemiabhari; Carlos Nunez,From conformal to confining field theories using holography,2024,False,True
68,Xiao-Yu Zhang; Li-Zhao; Yong-Qiang Wang,Dirac stars in Anti-de Sitter Spacetime,2024,False,True
69,Ashis Saha; Sunandan Gangopadhyay,Quantum chaos in presence of non-conformality,2024,False,True
70,T. Daniel Brennan; Zhengdi Sun,A SymTFT for Continuous Symmetries,2024,False,True
71,Numa Karolinski; Valerio Faraoni,Einstein gravity as the thermal equilibrium state of a nonminimally coupled scalar field geometry,2024,False,True
72,Andrey Gromov; Leo Radzihovsky,Colloquium: Fracton matter,2024,False,True
