Ind,authors,title,year,is_cited_own_paper,is_of_interest
363,Jan de Boer; Michal P. Heller; Robert C. Myers; Yasha Neiman,Holographic de sitter geometry from entanglement in conformal field theory,2016,True,True
364,Shira Chapman; Hugo Marrochio; Robert C. Myers,Holographic complexity in vaidya spacetimes. Part I,2018,True,True
365,Shira Chapman; Hugo Marrochio; Robert C. Myers,Holographic complexity in vaidya spacetimes. Part II,2018,True,True
366,Zicao Fu; Alexander Maloney; Donald Marolf; Henry Maxfield; Zhencheng Wang,Holographic complexity is nonlocal,2018,True,True
367,Vladimir Gritsev; Anatoli Polkovnikov,Integrable Floquet dynamics,2017,True,True
368,G. W. Gibbons,Holography and the Future Tube,2000,True,True
369,L. Andrianopoli; S. Ferrara; M. A. Lledo; O. Macia,Integration of massive states as contractions of non linear sigma-models,2005,True,True
370,Bartlomiej Czech; Lampros Lamprou; Samuel McCandlish; James Sully,Integral geometry and holography,2015,True,True
371,Pawel Caputa; Nilay Kundu; Masamichi Miyaji; Tadashi Takayanagi; Kento Watanabe,Liouville action as path-integral complexity: from continuous tensor networks to AdS/CFT,2017,True,True
372,Robert F. Penna; Claire Zukowski,Kinematic space and the orbit method,2019,True,True
373,Joshua D. Qualls,Lectures on Conformal Field Theory,2016,True,True
374,Bartlomiej Czech; Lampros Lamprou; Samuel McCandlish; James Sully,Modular berry connection for entangled subregions in AdS/CFT,2018,True,True
375,Tom Levy; Yaron Oz,Liouville Conformal Field Theories in Higher Dimensions,2018,True,True
376,Hugo A. Camargo; Michal P. Heller; Ro Jefferson; Johannes Knaute,Path integral optimization as circuit complexity,2019,True,True
377,Ibrahim Akal,Reflections on Virasoro circuit complexity and Berry phase,2022,True,True
378,Ashley Milsted; Guifre Vidal,Tensor networks as path integral geometry,2018,True,True
379,João Penedones; Emilio Trevisani; Masahito Yamazaki,Recursion relations for conformal blocks,2016,True,True
380,J. P. Provost; G. Vallee,Riemannian structure on manifolds of quantum states,1980,True,True
381,Cesar A. Agón; Matthew Headrick; Brian Swingle,Subsystem complexity and holography,2019,True,True
382,Pawel Caputa; Javier M. Magan,Quantum Computation as Gravity,2019,True,True
383,David Simmons-Duffin,TASI Lectures on the Conformal Bootstrap,2017,True,True
384,D. J. Rowe,Vector coherent state representations and their inner products,2012,True,True
385,Shouvik Datta; Per Kraus; Ben Michel,Typicality and thermality in 2d CFT,2019,True,True
386,Shira Chapman; Michal P. Heller; Hugo Marrochio; Fernando Pastawski,Towards Complexity for Quantum Field Theory States,2018,True,True
387,Alexandre Belin; Aitor Lewkowycz; Gábor Sárosi,The boundary dual of the bulk symplectic form,2019,True,True
388,John Watrous,Quantum Computational Complexity,2008,True,True
389,Michael A. Nielsen; Mark R. Dowling; Mile Gu; Andrew C. Doherty,Quantum Computation as Geometry,2006,True,True
390,D. J. Rowe; G. Rosensteel; R. Gilmore,Vector coherent state representation theory,1985,True,True
391,S D Bartlett; D J Rowe; J Repka,"Vector coherent state representations, induced representations and geometric quantization: I. Scalar coherent state representations",2002,True,True
392,S. D. Bartlett; D. J. Rowe; J. Repka,"Vector coherent state representations, induced representations and geometric quantization: II. Vector coherent state representations",2002,True,True
393,D. J. Rowe; R. Le Blanc; K. T. Hecht,Vector coherent state theory and its application to the orthogonal groups,1988,True,True
394,Seth Lloyd,Ultimate physical limits to computation,2000,True,True
395,Lorenzo Campos Venuti; Paolo Zanardi,Quantum critical scaling of the geometric tensors,2007,True,True
396,Shiraz Minwalla,Restrictions Imposed by Superconformal Invariance on Quantum Field Theories,1998,True,True
397,Robert Gilmore,On the properties of coherent states,1974,True,True
398,A. Alekseev; S. Shatashvili,Path integral quantization of the coadjoint orbits of the virasoro group and 2-d gravity,1989,True,True
399,Pawel Caputa; Shouvik Datta,Operator growth in 2d CFT,2021,False,True
400,Zhong-Ying Fan,A universal relation for operator complexity,2022,False,True
401,Arpan Bhattacharyya; Tanvir Hanif; S. Shajidul Haque; Md Khaledur Rahman,Complexity for Open Quantum System,2022,False,True
402,Budhaditya Bhattacharjee; Xiangyu Cao; Pratik Nandy; Tanay Pathak,Krylov complexity in saddle-dominated scrambling,2022,False,True
403,Wolfgang Mück; Yi Yang,Krylov complexity and orthogonal polynomials,2022,False,True
404,Pawel Caputa; Sinong Liu,Quantum complexity and topological phases of matter,2022,False,True
405,Bowen Chen; Bartlomiej Czech; Jan de Boer; Lampros Lamprou; Zi-zhi Wang,Boundary and bulk notions of transport in the AdS$_3$/CFT$_2$ correspondence,2022,False,True
406,Temple He; R. Loganayagam; Mukund Rangamani; Julio Virrueta,An effective description of charge diffusion and energy transport in a charged plasma from holography,2023,False,True
407,Nilakash Sorokhaibam,Quantum chaos and the arrow of time,2023,False,True
408,Adriaan M. J. Schakel,Boulevard of Broken Symmetries,1998,False,True
409,W. K. Huang; S. Hosoi; M. Čulo; S. Kasahara; Y. Sato; K. Matsuura; Y. Mizukami; M. Berben; N. E. Hussey; H. Kontani; T. Shibauchi; Y. Matsuda,Non-Fermi liquid transport in the vicinity of nematic quantum critical point of FeSe$_{1-x}$S$_x$ superconductor,2020,False,True
410,V. A. Khodel; J. W. Clark; M. V. Zverev,Onset of topological quantum chaos in strongly correlated electron systems,2020,False,True
411,G. Grissonnanche; S. Thériault; A. Gourgout; M.-E. Boulanger; E. Lefrançois; A. Ataei; F. Laliberté; M. Dion; J.-S. Zhou; S. Pyon; T. Takayama; H. Takagi; N. Doiron-Leyraud; L. Taillefer,Phonons become chiral in the pseudogap phase of cuprates,2020,False,True
412,Michele Fabrizio,Landau-Fermi liquids without quasiparticles,2020,False,True
413,Grigory Tarnopolsky; Chenyuan Li; Darshan G. Joshi; Subir Sachdev,Metal-insulator transition in a random Hubbard model,2020,False,True
414,Wontae Kim; Mungon Nam,Temperatures of AdS$_2$ black holes and holography revisited,2023,False,True
415,Umang Mehta,Postmodern Fermi Liquids,2023,False,True
416,Satyaki Chowdhury; Martin Bojowald; Jakub Mielczarek,Geometric quantum complexity of bosonic oscillator systems,2023,False,True
417,Jose Luis Blázquez-Salcedo; Christian Knoll; Eugen Radu,Traversable wormholes in Einstein-Dirac-Maxwell theory,2021,False,True
418,M. Lavagna,Quantum Phase Transitions,2001,True,True
419,C.O. Loustó; N. Sánchez,"Gravitational shock waves generated by extended sources: ultrarelativistic cosmic strings, monopoles and domain walls",1991,False,True
420,Yan-Gang Miao; Long Zhao,Complexity-action duality of the shock wave geometry in a massive gravity theory,2018,False,True
421,Aristomenis Donos; Jerome P. Gauntlett,Novel metals and insulators from holography,2014,False,True
422,Paolo Zanardi; Lorenzo Campos Venuti; Paolo Giorda,Bures metric over thermal state manifolds and quantum criticality,2007,True,True
423,Laurence G. Yaffe,Large $N$ limits as classical mechanics,1982,True,True
424,M. Luscher; G. Mack,Global conformal invariance in quantum field theory,1975,True,True
425,Edward Witten,Coadjoint orbits of the Virasoro group,1988,True,True
426,M. I. Monastyrsky; A. M. Perelomov,Coherent states and symmetric spaces. 2.,1975,True,True
427,A. M. Perelomov,Coherent states for arbitrary Lie group,1972,True,True
428,Wei-Min Zhang; Da Hsuan Feng; Robert Gilmore,Coherent states: Theory and some applications,1990,True,True
429,Alonso Botero,Geometric phase and modulus relations for SU(n) matrix elements in the defining representation,2003,True,True
430,Michael Kolodrubetz; Dries Sels; Pankaj Mehta; Anatoli Polkovnikov,Geometry and non-adiabatic response in quantum and classical systems,2017,True,True
431,M. Nielsen,A geometric approach to quantum circuit lower bounds,2006,True,True
432,Andreas Karch; Emanuel Katz; Dam T. Son; Mikhail A. Stephanov,Linear confinement and AdS/QCD,2006,True,True
433,Mihailo Cubrovic; Jan Zaanen; Koenraad Schalm,"String Theory, Quantum Phase Transitions and the Emergent Fermi-Liquid",2009,True,True
434,Steven S. Gubser; Abhinav Nellore,Ground states of holographic superconductors,2009,True,True
435,Frederik Denef; Sean A. Hartnoll; Subir Sachdev,Quantum oscillations and black hole ringing,2009,True,True
436,U. Gursoy; E. Kiritsis,Exploring improved holographic theories for QCD: Part I,2008,True,True
437,U. Gursoy; E. Kiritsis; F. Nitti,Exploring improved holographic theories for QCD: Part II,2008,True,True
438,Steven S. Gubser; Fabio D. Rocha,The gravity dual to a quantum critical point with spontaneous symmetry breaking,2009,True,True
439,Gary Horowitz; Albion Lawrence; Eva Silverstein,Insightful D-branes,2009,True,True
440,Nabil Iqbal; Hong Liu,Real-time response in AdS/CFT with application to spinors,2009,True,True
441,Gary T. Horowitz; Matthew M. Roberts,Zero Temperature Limit of Holographic Superconductors,2009,True,True
442,Steven S. Gubser; Fabio D. Rocha; Pedro Talavera,Normalizable fermion modes in a holographic superconductor,2010,True,True
443,Sean A. Hartnoll; Joseph Polchinski; Eva Silverstein; David Tong,Towards strange metallic holography,2010,True,True
444,Nabil Iqbal; Hong Liu; Márk Mezei; Qimiao Si,Quantum phase transitions in holographic models of magnetism and superconductors,2010,True,True
445,Mihailo Čubrović; Yan Liu; Koenraad Schalm; Ya-Wen Sun; Jan Zaanen,Spectral probes of the holographic Fermi groundstate: dialing between the electron star and AdS Dirac hair,2011,True,True
446,Mihailo Čubrović; Jan Zaanen; Koenraad Schalm,Constructing the AdS dual of a Fermi liquid: AdS Black holes with Dirac hair,2011,True,True
447,John McGreevy,Holographic duality with a view toward many-body physics,2010,True,True
448,V. Giangreco M. Puletti; S. Nowling; L. Thorlacius; T. Zingg,Holographic metals at finite temperature,2011,True,True
449,Liza Huijse; Subir Sachdev,Fermi surfaces and gauge-gravity duality,2011,True,True
450,Sean A. Hartnoll; Pavel Petrov,Electron star birth: A continuous phase transition at nonzero density,2011,True,True
451,Sean A. Hartnoll; Alireza Tavanfar,Electron stars for holographic metallic criticality,2011,True,True
452,Hong Liu; John McGreevy; David Vegh,Non-Fermi liquids from holography,2011,True,True
453,Sean A. Hartnoll; Diego M. Hofman; David Vegh,Stellar spectroscopy: Fermions and holographic Lifshitz criticality,2011,True,True
454,Thomas Faulkner; Joseph Polchinski,Semi-holographic Fermi liquids,2011,True,True
455,Nabil Iqbal; Hong Liu; Márk Mezei,Semi-local quantum liquids,2012,True,True
456,Sean A. Hartnoll; Liza Huijse,Fractionalization of holographic Fermi surfaces,2012,True,True
457,Koji Hashimoto; Norihiro Iizuka,A Comment on Holographic Luttinger Theorem,2012,True,True
458,Andrea Allais; John McGreevy; S. Josephine Suh,A quantum electron star,2012,True,True
459,Norihiro Iizuka; Nilay Kundu; Prithvi Narayan; Sandip P. Trivedi,Holographic Fermi and Non-Fermi Liquids with Transitions in Dilaton Gravity,2012,True,True
460,Subir Sachdev,A model of a Fermi liquid using gauge-gravity duality,2011,True,True
461,Nabil Iqbal; Hong Liu,"Luttinger's theorem, superfluid vortices, and holography",2012,True,True
462,Guy F. de Teramond; Stanley J. Brodsky,Excited baryons in holographic QCD,2012,True,True
463,Zhen Fang; Danning Li; Yue-Liang Wu,IR-improved soft-wall AdS/QCD model for baryons,2016,True,True
464,Mariya V. Medvedyeva; Elena Gubankova; Mihailo Čubrović; Koenraad Schalm; Jan Zaanen,Quantum corrected phase diagram of holographic fermions,2013,True,True
465,Andrea Allais; John McGreevy,How to construct a gravitating quantum electron star,2013,True,True
466,M. Gurvitch; A. T. Fiory,Resistivity of ${\mathrm{La}}_{1.825}$${\mathrm{Sr}}_{0.175}$${\mathrm{CuO}}_{4}$ and ${\mathrm{YBa}}_{2}$${\mathrm{Cu}}_{3}$${\mathrm{O}}_{7}$ to 1100 K: Absence of saturation and its implications,1987,True,True
467,Jian-Pin Wu,Dynamical gap driven by Yukawa coupling in holography,2019,True,True
468,David B. Kaplan; Jong-Wan Lee; Dam T. Son; Mikhail A. Stephanov,Conformality lost,2009,True,True
469,Oliver DeWolfe; Steven S. Gubser; Christopher Rosen,Fermi surfaces in maximal gauged supergravity,2012,True,True
470,Sergio Ciuchi; Simone Fratini,Strange metal behavior from incoherent carriers scattered by local moments,2023,False,True
471,Kamran Behnia; Kostya Trachenko,How heat propagates in `non-Fermi liquid' $^3$He,2023,False,True
472,Zhi-Han Li; Chen-Qi Li; Long-Gang Pang,Solving Einstein equations using deep learning,2023,False,True
473,Laura Batini; Eduardo Grossi; Nicolas Wink,Dissipation dynamics of a scalar field,2023,False,True
474,Blaise Goutéraux; Ashish Shukla,Beyond Drude transport in hydrodynamic metals,2023,False,True
475,R. T. Collins; Z. Schlesinger; F. Holtzberg; P. Chaudhari; C. Feild,Reflectivity and conductivity of ${\mathrm{YBa}}_{2}$${\mathrm{Cu}}_{3}$${\mathrm{O}}_{7}$,1989,True,True
476,Joseph Orenstein; G. A. Thomas; A. J. Millis; S. L. Cooper; D. H. Rapkine; T. Timusk; L. F. Schneemeyer; J. V. Waszczak,Frequency- and temperature-dependent conductivity in ${\mathrm{YBa}}_{2}$${\mathrm{Cu}}_{3}$${\mathrm{O}}_{6+\mathit{x}}$ crystals,1990,True,True
477,C. Collignon; A. Ataei; A. Gourgout; S. Badoux; M. Lizaire; A. Legros; S. Licciardello; S. Wiedmann; J.-Q. Yan; J.-S. Zhou; Q. Ma; B. D. Gaulin; Nicolas Doiron-Leyraud; Louis Taillefer,Thermopower across the phase diagram of the cuprate ${\mathrm{La}}_{1.6\ensuremath{-}x}{\mathrm{Nd}}_{0.4}{\mathrm{Sr}}_{x}{\mathrm{CuO}}_{4}$: Signatures of the pseudogap and charge density wave phases,2021,True,True
478,Chaitanya Murthy; Akshat Pandey; Ilya Esterlis; Steven A. Kivelson,A stability bound on the T-linear resistivity of conventional metals,2023,True,True
479,Philip W. Phillips; Nigel E. Hussey; Peter Abbamonte,Stranger than metals,2022,True,True
480,N. E. Hussey ‖; K. Takenaka; H. Takagi,Universality of the Mott–Ioffe–Regel limit in metals,2004,True,True
481,Benjamin Withers,Holographic checkerboards,2014,True,True
482,Jerome P. Gauntlett; Julian Sonner; Toby Wiseman,Quantum criticality and holographic superconductors in M-theory,2010,True,True
483,Tom Faulkner; Nabil Iqbal; Hong Liu; John McGreevy; David Vegh,Holographic non-Fermi-liquid fixed points,2011,True,True
484,Andrey Gromov; Andrew Lucas; Rahul M. Nandkishore,Fracton hydrodynamics,2020,False,True
485,Kevin T. Grosvenor; Carlos Hoyos; Francisco Peña-Benitez; Piotr Surówka,Hydrodynamics of ideal fracton fluids,2021,False,True
486,Aleksander Głódkowski; Francisco Peña-Benítez; Piotr Surówka,Hydrodynamics of dipole-conserving fluids,2023,False,True
487,Evangelos Afxonidis; Alessio Caddeo; Carlos Hoyos; Daniele Musso,Fracton gravity from spacetime dipole symmetry,2023,False,True
488,James Mangan,FiniteFieldSolve: Exactly Solving Large Linear Systems in High-Energy Theory,2023,False,True
489,Saulo M. Diles; Alex S. Miranda; Luis A. H. Mamani; Alex M. Echemendia; Vilson T. Zanchin,Third-order relativistic fluid dynamics at finite density in a general hydrodynamic frame,2023,False,True
490,Tuna Demircik; Domingo Gallegos; Umut Gürsoy; Matti Järvinen; Ruben Lier,A Novel Method for Holographic Transport,2023,False,True
491,Filipe Moura; João Rodrigues,WKB method and quasinormal modes of string-theoretical d-dimensional black holes,2023,False,True
492,Stefano Baiguera,Aspects of Non-Relativistic Quantum Field Theories,2023,False,True
493,Jiaozi Wang; Jonas Richter; Mats H. Lamann; Robin Steinigeweg; Jochen Gemmer; Anatoly Dymarsky,Emergence of unitary symmetry of microcanonically truncated operators in chaotic quantum systems,2023,False,True
494,Joseph Smith,"Fermions with $SU(1,n)$ Spacetime Symmetry",2023,False,True
495,Isaac Layton; Jonathan Oppenheim,The classical-quantum limit,2023,False,True
496,Alexios A. Michailidis; Dmitry A. Abanin; Luca V. Delacrétaz,Corrections to diffusion in interacting quantum systems,2023,False,True
497,Andreas Dechant; Jérôme Garnier-Brun; Shin-ichi Sasa,Thermodynamic Bounds on Correlation Times,2023,False,True
498,Serhii Kryhin; Qiantan Hong; Leonid Levitov,$T$-linear conductance in electron hydrodynamics,2023,False,True
499,Ben Kain,Einstein-Dirac-Maxwell wormholes in quantum field theory,2023,False,True
500,Sabrina Pasterski; Monica Pate; Ana-Maria Raclariu,Celestial Holography,2021,False,True
501,Chen-Te Ma,AdS$_3$ Einstein Gravity and Boundary Description: Pedagogical Review,2023,False,True
502,Jukka P. Pekola; Bayan Karimi,Heat bath in a quantum circuit,2023,False,True
503,Bernard S. Kay,Quantum Field Theory in Curved Spacetime (2nd Edition),2023,False,True
504,Yucheng He; Zeqiang Wang; Deyou Chen,Report on chaos bound outside Taub-NUT black holes,2023,False,True
505,Nahomi Kan; Kiyoshi Shiraishi,Electric and dilatonic fields of a charged massive particle at rest in the field of a charged dilaton black hole,2023,False,True
506,Lam Hui; Alessandro Podo; Luca Santoni; Enrico Trincherini,An analytic approach to quasinormal modes for coupled linear systems,2023,False,True
507,Andrew Osborne; Chao Yin; Andrew Lucas,Locality bounds for quantum dynamics at low energy,2023,False,True
508,Satoshi Nawata; Runkai Tao; Daisuke Yokoyama,Fudan lectures on string theory,2023,False,True
509,T. Senthil,Deconfined quantum critical points: a review,2023,False,True
510,Yasuyuki Hatsuda; Masashi Kimura,Spectral Problems for Quasinormal Modes of Black Holes,2021,False,True
511,Tomas S. Grigera,Everything you wish to know about correlations but are afraid to ask,2020,False,True
512,James Dufty; Kai Luo; Jeffrey Wrighton,Generalized hydrodynamics revisited,2020,False,True
513,Gustavo Cesar Valdivia Mera,A review on the Unruh Effect and the Thermofield-double state,2020,False,True
514,Johanna Erdmenger; Kevin T. Grosvenor; Ro Jefferson,Information geometry in quantum field theory: lessons from simple examples,2020,False,True
515,Christian Corda; Fabiano Feleppa,The quantum black hole as a gravitational hydrogen atom,2020,False,True
516,Robert H. Jonsson; David Q. Aruquipa; Marc Casals; Achim Kempf; Eduardo Martín-Martínez,Communication through quantum fields near a black hole,2020,False,True
517,Jesse C. Cresswell,Quantum Information Approaches to Quantum Gravity,2019,False,True
518,Pablo Antonio Moreno Casares,A review on Loop Quantum Gravity,2018,False,True
519,Giampiero Esposito,An introduction to quantum gravity,2011,False,True
520,Maria Patmiou; V. G. Karpov,Qualitative methods in condensed matter physics,2019,False,True
521,Benjamin Doyon,Lecture notes on Generalised Hydrodynamics,2020,False,True
522,Jacob Biamonte,Lectures on Quantum Tensor Networks,2020,False,True
523,Mathieu Lewin; Elliott H. Lieb; Robert Seiringer,Universal Functionals in Density Functional Theory,2019,False,True
524,C. M. Varma; Z. Nussinov; W. van Saarloos,Singular Fermi Liquids,2002,False,True
525,Daniel Tay,An introduction to Eigenvalue Thermalization Hypothesis (ETH) in Conformal Field Theory (CFT),2019,False,True
526,Raul Aguero-Santacruz; David Bermudez,Hawking radiation in optics and beyond,2020,False,True
527,Mark Van Raamsdonk,Building up spacetime with quantum entanglement,2010,False,True
528,De-Chang Dai; Djordje Minic; Dejan Stojkovic; Changbo Fu,Testing ER=EPR,2020,False,True
529,Pinaki Banerjee,ST4 Lectures on Assorted Topics in AdS3/CFT2,2018,False,True
530,Lorenzo Piroli; Christoph Sünderhauf; Xiao-Liang Qi,A Random Unitary Circuit Model for Black Hole Evaporation,2020,False,True
531,Hikaru Kawai; Yuki Yokokura,Black Hole as a Quantum Field Configuration,2020,False,True
532,Elliot Christou; Fernado de Juan; Frank Krüger,Novel criticality of Dirac fermions in the presence of emergent gauge fields,2020,False,True
533,Dmitrii A. Trunin,Pedagogical introduction to SYK model and 2D Dilaton Gravity,2021,False,True
534,John McGreevy,TASI lectures on quantum matter (with a view toward holographic duality),2017,False,True
535,Xiao-Gang Wen,Topological order: from long-range entangled quantum matter to an unification of light and electrons,2013,False,True
536,Nabil Iqbal; Hong Liu; Márk Mezei,Lectures on holographic non-Fermi liquids and quantum phase transitions,2011,True,True
537,Andrei Berceanu,Towards Understanding the Non-Fermi-Liquid Behaviour of MnSi,2008,False,True
538,Thierry Giamarchi,Interactions in Quantum Fluids,2010,False,True
539,Enrique Alvarez,Windows on Quantum Gravity,2021,False,True
540,J. Zaanen; B. J. Overbosch,Mottness collapse and statistical quantum criticality,2011,False,True
541,J. Zaanen; F. Krüger; J.-H. She; D. Sadri; S. I. Mukhin,Pacifying the Fermi-liquid: battling the devious fermion signs,2008,False,True
542,N. Kaplis; F. Krüger; J. Zaanen,Entanglement entropies and fermion signs of critical metals,2017,False,True
543,Edwin A. Bedolla-Montiel; Luis Carlos Padierna; Ramón Castañeda-Priego,Machine Learning for Condensed Matter Physics,2020,False,True
544,Edwin W. Huang; Ryan Sheppard; Brian Moritz; Thomas P. Devereaux,Strange metallicity in the doped Hubbard model,2019,True,True
545,Shuai Chen; Qing-Rui Wang; Yang Qi; D. N. Sheng; Zheng-Yu Weng,Single-hole wave function in two dimensions: A case study of the doped Mott insulator,2019,False,True
546,Ronald de Wolf,Quantum Computing: Lecture Notes,2019,False,True
547,Kostas Skenderis,Lecture Notes on Holographic Renormalization,2002,False,True
548,Jacob C. Bridgeman; Christopher T. Chubb,Hand-waving and Interpretive Dance: An Introductory Course on Tensor Networks,2017,False,True
549,Miron Amusia; Vasily Shaginyan,Strongly Correlated Fermi Systems: A New State of Matter,2020,False,True
550,Ben J. Powell,Emergent particles and gauge fields in quantum matter,2020,False,True
551,B. Keimer; S. A. Kivelson; M. R. Norman; S. Uchida; J. Zaanen,From quantum matter to high-temperature superconductivity in copper oxides,2015,True,True
552,Gustav Uhre Jakobsen,General Relativity from Quantum Field Theory,2020,False,True
553,Louk Rademaker,A Practical Introduction to Density Functional Theory,2020,False,True
554,J. Cayssol; J.-N. Fuchs,Topological and geometrical aspects of band theory,2021,False,True
555,Pinaki Banerjee; Bidisha Chakrabarty; Swapnamay Mondal,Phase Thermalization: from Heavy Fermi Liquid to Incoherent Metal,2020,False,True
556,Geunho Song,Holographic Study on Quantum Criticality,2020,False,True
557,Frank Göhmann,Introduction to Solid State Physics,2021,False,True
558,Matteo Baggioli; Keun-Young Kim; Li Li; Wei-Jia Li,Holographic Axion Model: a simple gravitational tool for quantum matter,2021,True,True
559,Sankar Das Sarma; Yunxiang Liao,Know the enemy: 2D Fermi liquids,2021,False,True
560,Hiroyasu Tajima; Keiji Saito,Symmetry hinders quantum information recovery,2021,False,True
561,Henry Maxﬁeld,Lectures on black hole information and spacetime wormholes,2021,False,True
562,Götz Seibold; Riccardo Arpaia; Ying Ying Peng; Roberto Fumagalli; Lucio Braicovich; Carlo Di Castro; Marco Grilli; Giacomo Claudio Ghiringhelli; Sergio Caprara,Strange metal behaviour from charge density fluctuations in cuprates,2021,False,True
563,E. C. Marino; R. Arouca,Magnetic Field Effects on the Transport Properties of High-Tc Cuprates,2021,False,True
564,An Gong; Chong-Bin Chen; Fu-Wen Shu,Kinematic space for quantum extremal surface,2023,False,True
565,Zi-Qing Xiao; Run-Qiu Yang,Holographic quantum distances and replica trick,2023,False,True
566,Shi-Dong Liang; Matthew J. Lake,An Introduction to Noncommutative Physics,2023,False,True
567,Luis Alvarez-Gaume; Miguel A. Vazquez-Mozo,Lectures on Field Theory and the Standard Model: A Symmetry-Oriented Approach,2023,False,True
568,Akihiro Ishibashi; Kengo Maeda; Takashi Okamura,Semiclassical Einstein equations from holography and boundary dynamics,2023,False,True
569,Arpit Das; Ruth Gregory; Nabil Iqbal,"Higher-form symmetries, anomalous magnetohydrodynamics, and holography",2023,False,True
570,Thomas G. Mertens; Gustavo J. Turiaci,Solvable Models of Quantum Black Holes: A Review on Jackiw-Teitelboim Gravity,2023,False,True
571,Fabian H. L. Essler,A short introduction to Generalized Hydrodynamics,2022,False,True
572,Sean A. Hartnoll; Andrew P. Mackenzie,Planckian Dissipation in Metals,2022,True,True
573,Ran Luo; Qing-Rui Wang; Yi-Nan Wang,Lecture Notes on Generalized Symmetries and Applications,2023,False,True
574,Lakshya Bhardwaj; Lea E. Bottini; Ludovic Fraser-Taliente; Liam Gladden; Dewi S. W. Gould; Arthur Platschorre; Hannah Tillim,Lectures on Generalized Symmetries,2023,False,True
575,Iliya Esin; Étienne Lantagne-Hurtubise; Frederik Nathan; Gil Refael,Quantum geometry and bounds on dissipation in slowly driven quantum systems,2023,False,True
576,G. E. Volovik,Views on gravity from condensed matter physics,2023,False,True
577,João M. L. de Freitas; Iberê Kuntz,Massive graviton from diffeomorphism invariance,2023,False,True
578,Yoichi Ando,Topological Insulators,2023,False,True
579,A. P. Isaev,Lectures on Quantum Groups and Yang-Baxter Equations,2023,False,True
580,John L. Friedman,Notes on Gravitational Physics,2023,False,True
581,Marcelo M. Disconzi,Recent developments in mathematical aspects of relativistic fluids,2023,False,True
582,Takato Mori,"Entanglement structure in quantum many-body systems, field theories, and holography",2023,False,True
583,Ian Chaffey; Sylvain Fichet; Philip Tanedo,Holography of Broken U(1) Symmetry,2023,False,True
584,B. Michon; C. Berthod; C. W. Rischau; A. Ataei; L. Chen; S. Komiya; S. Ono; L. Taillefer; D. van der Marel; A. Georges,Planckian behavior of cuprate superconductors: Reconciling the scaling of optical conductivity with resistivity and specific heat,2022,True,True
585,Andrew M. Evans; Alexandra Miller; Aaron Russell,A Conformal Field Theory Primer in $D\geq3$,2023,False,True
586,Matteo Baggioli; Blaise Goutéraux,Colloquium: Hydrodynamics and holography of charge density wave phases,2023,True,True
587,Patrizia Vitale; Martina Adamo; Roukaya Dekhil; Diego Fernández-Silvestre,Introduction to noncommutative field and gauge theory,2023,False,True
588,Adam Marsh,From quantum electrodynamics to a geometric gauge theory of classical electromagnetism,2023,False,True
589,Manuel Tecchiolli,On the Mathematics of Coframe Formalism and Einstein-Cartan Theory -- A Brief Review,2019,False,True
590,Song He; Yi Li,Holographic Euclidean thermal correlator,2023,False,True
591,Christopher Eling,A gauge theory for the 2+1 dimensional incompressible Euler equations,2023,False,True
592,Mahendra K. Verma,Insights into the Energy Transfers in Hydrodynamic Turbulence Using Field-theoretic Tools,2023,False,True
593,Balázs Hetényi; Péter Lévay,"Fluctuations, uncertainty relations, and the geometry of quantum state manifolds",2023,False,True
594,Xiaoyang Huang; Subir Sachdev; Andrew Lucas,Disordered quantum critical fixed points from holography,2023,False,True
595,D. V. Khveshchenko,Diagnostic Tomography of Applied Holography,2023,False,True
596,Hossein Hosseinabadi; Shane P. Kelly; Jörg Schmalian; Jamir Marino,Thermalization of non-Fermi-liquid electron-phonon systems: Hydrodynamic relaxation of the Yukawa-Sachdev-Ye-Kitaev model,2023,False,True
597,Gary T. Horowitz; Jorge E. Santos; David Tong,Further evidence for lattice-induced scaling,2012,True,True
598,Gary T. Horowitz; Jorge E. Santos; David Tong,Optical conductivity with holographic lattices,2012,True,True
599,Sean A. Hartnoll; Diego M. Hofman,Locally Critical Resistivities from Umklapp Scattering,2012,True,True
600,Aristomenis Donos; Jerome P. Gauntlett,The thermoelectric properties of inhomogeneous holographic lattices,2015,True,True
601,Luca V. Delacrétaz; Blaise Goutéraux; Vaios Ziogas,Damping of Pseudo-Goldstone Fields,2022,True,True
602,C. M. Varma; P. B. Littlewood; S. Schmitt-Rink; E. Abrahams; A. E. Ruckenstein,Phenomenology of the normal state of Cu-O high-temperature superconductors,1989,True,True
603,Richard A. Davison; Blaise Goutéraux,Dissecting holographic conductivities,2015,True,True
604,Sean A. Hartnoll; Raghu Mahajan; Matthias Punk; Subir Sachdev,Transport near the Ising-nematic quantum critical point of metals in two dimensions,2014,True,True
605,Richard A. Davison; Koenraad Schalm; Jan Zaanen,Holographic duality and the resistivity of strange metals,2014,True,True
606,Aristomenis Donos; Jerome P. Gauntlett; Tom Griffin; Luis Melgar,DC conductivity of magnetised holographic matter,2016,True,True
607,Aristomenis Donos; Jerome P. Gauntlett,Thermoelectric DC conductivities from black hole horizons,2014,True,True
608,Andrew Lucas,Hydrodynamic transport in strongly coupled disordered quantum field theories,2015,True,True
609,Aristomenis Donos; Jerome P. Gauntlett; Vaios Ziogas,Diffusion in inhomogeneous media,2017,True,True
