,0,1,2,3,concat_topics
Zhuo-Fan_Gu,2,5,9,10,2 5 9 10
Yu-Kun_Yan,2,5,9,10,2 5 9 10
Shao-Feng_Wu,2,5,9,10,2 5 9 10
Salvatore_Capozziello,1,5,6,10,1 5 6 10
Carmen_Ferrara,1,7,8,11,1 7 8 11
Jonathan_J._Heckman,1,8,10,11,1 8 10 11
Max_Hübner,1,8,10,11,1 8 10 11
Chitraang_Murdia,1,8,10,11,1 8 10 11
Tian-Gang_Zhou,1,4,5,12,1 4 5 12
Yingfei_Gu,1,4,7,9,1 4 7 9
Pengfei_Zhang,1,3,4,8,1 3 4 8
Felix_Fritzsch,1,4,8,12,1 4 8 12
Tomaž_Prosen,1,4,8,12,1 4 8 12
Lucas_Sá,1,4,5,9,1 4 5 9
Pedro_Ribeiro,1,4,5,9,1 4 5 9
Roopayan_Ghosh,1,4,8,12,1 4 8 12
Miha_Srdinšek,1,4,7,9,1 4 7 9
Spyros_Sotiriadis,1,4,5,9,1 4 5 9
Žiga_Krajnik,1,3,5,12,1 3 5 12
Johannes_Schmidt,1,5,9,12,1 5 9 12
Enej_Ilievski,1,3,5,12,1 3 5 12
Alexios_Christopoulos,1,4,9,12,1 4 9 12
Andrea_De_Luca,1,4,9,12,1 4 9 12
D_L_Kovrizhin,1,4,9,12,1 4 9 12
Eren_Firat,1,6,7,9,1 6 7 9
Alexander_Monin,1,6,7,9,1 6 7 9
Riccardo_Rattazzi,1,5,7,9,1 5 7 9
Brian_Henning,1,5,9,10,1 5 9 10
Hitoshi_Murayama,1,6,9,10,1 6 9 10
Francesco_Riva,1,5,9,10,1 5 9 10
Jedidiah_O._Thompson,1,5,9,10,1 5 9 10
Nikhil_Anand,1,5,8,9,1 5 8 9
Vincent_X._Genest,1,5,8,9,1 5 8 9
Zuhair_U._Khandker,1,5,8,9,1 5 8 9
Nikodem_Popławski,1,6,7,11,1 6 7 11
Nicola_Pranzini,1,4,6,11,1 4 6 11
Akram_Touil,1,4,7,12,1 4 7 12
Sebastian_Deffner,1,4,7,12,1 4 7 12
A._Naveena_Kumara,1,2,3,7,1 2 3 7
Shreyas_Punacha,1,2,3,7,1 2 3 7
Md_Sabir_Ali,1,2,3,7,1 2 3 7
Horatiu_Nastase,1,10,11,12,1 10 11 12
Jacob_Sonnenschein,1,10,11,12,1 10 11 12
